iter	F1	Logloss
0	0.5670554002	0.6908727191
1	0.5968111487	0.6884170955
2	0.5639369019	0.6861832533
3	0.576919742	0.6839450869
4	0.5761025913	0.6813633935
5	0.5799451026	0.678938816
6	0.5860898137	0.676673824
7	0.5898307336	0.6746373337
8	0.5940943037	0.672370917
9	0.5949106994	0.6704616694
10	0.6043366555	0.6680948614
11	0.6108103705	0.6657639217
12	0.6188924508	0.6640206564
13	0.6148639906	0.6619385152
14	0.6127156175	0.6604767533
15	0.6053021814	0.6589625025
16	0.6096064356	0.657151154
17	0.6146974155	0.6550889509
18	0.622476886	0.6539353027
19	0.6225606606	0.6528467709
20	0.6216251734	0.6510051341
21	0.6224636347	0.6497335492
22	0.6214263427	0.6485114611
23	0.6239882873	0.6468539397
24	0.6232431005	0.6450642229
25	0.6197492806	0.6438444546
26	0.6223931339	0.6423755727
27	0.6235783636	0.6407897901
28	0.6256092649	0.639621652
29	0.6286444044	0.6385276176
30	0.6296531408	0.6372262056
31	0.6267876181	0.6362091277
32	0.6277174703	0.6355515033
33	0.6275474778	0.6341348189
34	0.6318527045	0.6329420532
35	0.6298299342	0.6317755949
36	0.6336994776	0.6303180115
37	0.6383122581	0.6290609375
38	0.6424774501	0.6275696788
39	0.6430783961	0.6263849933
40	0.6421345563	0.6255684895
41	0.6494113079	0.6241103214
42	0.6490664829	0.6234919542
43	0.6537152978	0.6219328849
44	0.6505166895	0.6209810084
45	0.6506028596	0.6196771218
46	0.6575287832	0.6185334833
47	0.6633303042	0.6172718947
48	0.6606005968	0.6157695783
49	0.6590054639	0.6149596782
50	0.6620061742	0.6136965341
51	0.6649071797	0.6128688601
52	0.6654340129	0.6116853323
53	0.6674451812	0.610698153
54	0.6650821637	0.6095901338
55	0.665432408	0.6089393859
56	0.6681464524	0.6081224236
57	0.670153543	0.6071334711
58	0.6720673468	0.6061005368
59	0.6729487358	0.605065098
60	0.6726840765	0.6042919399
61	0.6731252911	0.6032085071
62	0.6720801077	0.602188879
63	0.6752315421	0.6010799918
64	0.6735831285	0.6002894984
65	0.677762247	0.5996292026
66	0.676897095	0.5989053258
67	0.6762971942	0.5982076219
68	0.6772529315	0.5976081952
69	0.6750735315	0.5968670603
70	0.6788929935	0.5952703171
71	0.6773419491	0.5948586367
72	0.6780292025	0.5942963832
73	0.6821896551	0.5933353415
74	0.6855660789	0.5924883644
75	0.6889332569	0.5919152489
76	0.689203338	0.5912308081
77	0.6878118892	0.5905870754
78	0.6862842281	0.5900072986
79	0.6911729244	0.589430535
80	0.6891132875	0.588475857
81	0.6905043808	0.5878671557
82	0.6960292292	0.5871756413
83	0.6934085107	0.5865354584
84	0.692866467	0.5857608925
85	0.6961197758	0.5849249746
86	0.6972322728	0.5842030254
87	0.698525337	0.5833267374
88	0.6969357567	0.5824244496
89	0.6990706368	0.5819231924
90	0.701018858	0.5811198697
91	0.7031566149	0.5804940694
92	0.7049999102	0.5795728651
93	0.7061934574	0.5786702996
94	0.7065641605	0.5782040289
95	0.7066554078	0.5776328273
96	0.7044436822	0.5764711775
97	0.7051743455	0.575861672
98	0.707291038	0.5747180113
99	0.7081185753	0.5741796358
100	0.7108715549	0.5736017482
101	0.7104119431	0.5728957643
102	0.7084853144	0.5724226371
103	0.7111476075	0.571697222
104	0.7108715549	0.5709776151
105	0.7116952856	0.5701860032
106	0.711511311	0.569411431
107	0.7103200921	0.5689193943
108	0.7126096864	0.5684718357
109	0.7146189848	0.567914729
110	0.7145267802	0.5674236619
111	0.7160836465	0.5670000005
112	0.7158198128	0.5664815757
113	0.7186425289	0.5657638452
114	0.7180118314	0.5652488928
115	0.7174725071	0.5646911565
116	0.7200140955	0.5638217756
117	0.7194778523	0.5632255228
118	0.7199427604	0.56272606
119	0.7188473383	0.5620404056
120	0.7181224874	0.5615482265
121	0.718401411	0.5610197315
122	0.7183084124	0.560743524
123	0.7205717889	0.5601660046
124	0.7227567045	0.559425672
125	0.7228499354	0.5590703206
126	0.726553502	0.5582022429
127	0.7264600462	0.5578740665
128	0.7281639283	0.5571972019
129	0.727546422	0.5568817348
130	0.7298099962	0.5561442781
131	0.7307488049	0.5552888395
132	0.7323521342	0.5549686515
133	0.7313631344	0.5542558382
134	0.735123809	0.5539866927
135	0.735123809	0.553339411
136	0.7386403671	0.5522565624
137	0.7393378639	0.5518512588
138	0.7402232257	0.5508227852
139	0.7412967358	0.5502793105
140	0.7407914098	0.5497123226
141	0.74293861	0.5492864454
142	0.7433459861	0.5490123646
143	0.7425589648	0.5485303948
144	0.743630749	0.5479243838
145	0.7438207122	0.5474306365
146	0.74293861	0.547104822
147	0.7439157302	0.5463234555
148	0.7450819782	0.5459646043
149	0.7464380668	0.5456288902
150	0.7451771391	0.544917313
151	0.7480990548	0.5443867674
152	0.746935623	0.543919586
153	0.7489753566	0.5435065626
154	0.7492617469	0.5430906057
155	0.7482898675	0.5424132071
156	0.749054093	0.5417438262
157	0.7494367914	0.5412008497
158	0.7483673222	0.5408995375
159	0.7493410802	0.5401675944
160	0.7498198811	0.5394212758
161	0.7498198811	0.5389464693
162	0.750601136	0.5386230897
163	0.7516687919	0.5380066414
164	0.7520527287	0.5373142073
165	0.7540897248	0.5366231619
166	0.7539935418	0.5362107833
167	0.7554486805	0.5357659122
168	0.7528315367	0.5353383302
169	0.7519567077	0.5345866905
170	0.7530236918	0.5340199854
171	0.7513686534	0.5337135494
172	0.7533121084	0.5334538953
173	0.7555448774	0.5328875451
174	0.7556410989	0.5325706693
175	0.756414863	0.5321355551
176	0.757283633	0.5316238748
177	0.7563186226	0.5313698772
178	0.7571873494	0.5308770412
179	0.7588261624	0.530062028
180	0.7616158	0.5294232999
181	0.7642983495	0.5285750935
182	0.7616158	0.5281769884
183	0.7652547923	0.5277568363
184	0.7642127525	0.5272401922
185	0.764879816	0.5267673652
186	0.7657396165	0.5264312515
187	0.7651708812	0.5261308922
188	0.765836655	0.5255499844
189	0.7665011655	0.5252189006
190	0.7674556311	0.5245837374
191	0.7684090119	0.5238834376
192	0.7689924979	0.5234741167
193	0.7715548805	0.5231222685
194	0.7715548805	0.5228209719
195	0.7733547521	0.5225695697
196	0.7728943593	0.5221287615
197	0.7728943593	0.5217084977
198	0.7729214924	0.5213682773
199	0.7718725432	0.5208489236
200	0.7744292578	0.5201859369
201	0.775279132	0.5197253026
202	0.7746249433	0.5189446456
203	0.7738716497	0.5185389478
204	0.7744292578	0.5183158856
205	0.7764216298	0.5178422045
206	0.7739695147	0.5174350161
207	0.7768137112	0.5169934613
208	0.776617621	0.5161859097
209	0.7791572496	0.5158153677
210	0.7776615052	0.5154894055
211	0.7811392367	0.5147837662
212	0.7797465153	0.5143283866
213	0.7825716192	0.5139105084
214	0.7837083142	0.5134548283
215	0.7806320869	0.5126992686
216	0.7818712498	0.5120663548
217	0.7813222567	0.5116167304
218	0.7829124274	0.5110961842
219	0.7862761071	0.5105348305
220	0.7856346755	0.5100654818
221	0.7849920325	0.509781676
222	0.7858325191	0.5091724114
223	0.7858325191	0.5085986766
224	0.7865728722	0.5083716853
225	0.7865728722	0.5077982019
226	0.7865728722	0.5074304862
227	0.7881489506	0.5070472129
228	0.7873120165	0.5067153407
229	0.7874110001	0.5064567327
230	0.7850909542	0.5057128314
231	0.7862285054	0.5053360084
232	0.7902744151	0.5049625655
233	0.7911095159	0.5045041137
234	0.7939409902	0.504106925
235	0.7890410311	0.5036778244
236	0.7899764215	0.5034114682
237	0.7904732025	0.503092725
238	0.7921423967	0.5025842563
239	0.7931743714	0.5017867862
240	0.7940061657	0.5014779531
241	0.7940061657	0.5009647347
242	0.7946375675	0.5004152347
243	0.7945379816	0.500101368
244	0.7956663191	0.4995826439
245	0.7948368141	0.4991756349
246	0.7949364749	0.4986736752
247	0.7955349649	0.4981508839
248	0.7953353681	0.4979540421
249	0.7965644845	0.4972911765
250	0.796364717	0.4970502946
251	0.7971643888	0.4965989137
252	0.7996476366	0.4961484022
253	0.8026222988	0.4957358693
254	0.8026222988	0.4951399851
255	0.8014979619	0.4946599721
256	0.8018992936	0.4940875182
257	0.801677297	0.4935063272
258	0.8025020453	0.4930576071
259	0.8019789104	0.4924510404
260	0.8020794986	0.4921315901
261	0.8038288144	0.4916388424
262	0.8036274766	0.4910255082
263	0.8034262397	0.4906831456
264	0.8044500595	0.4900948764
265	0.8047522051	0.4891220002
266	0.807213481	0.4887774661
267	0.8082334778	0.4884693128
268	0.8071005405	0.4878797571
269	0.8073025843	0.4875249533
270	0.8073025843	0.4868945502
271	0.8091429282	0.4864923522
272	0.8083243918	0.4862840094
273	0.8099603409	0.4856761689
274	0.8124058599	0.4853046289
275	0.8127098538	0.4847799141
276	0.8119970518	0.4843114606
277	0.8125041804	0.4837474493
278	0.811891682	0.48332767
279	0.8123995374	0.4828222839
280	0.8114811376	0.4823172022
281	0.8116843421	0.4818365989
282	0.8107647926	0.4813144851
283	0.8126028574	0.4808512253
284	0.8129080284	0.4801764916
285	0.8137238773	0.4797900985
286	0.814029374	0.4792948798
287	0.8155559818	0.4788150948
288	0.8162666113	0.4783544157
289	0.8154540859	0.4776889512
290	0.814844198	0.4773969141
291	0.8158618222	0.4768353818
292	0.8183985272	0.4762432131
293	0.8192078727	0.475666195
294	0.819310021	0.4752883421
295	0.8177922693	0.4748111357
296	0.8201182893	0.4743939973
297	0.8209254518	0.4736469661
298	0.8206295667	0.4728435721
299	0.8228434317	0.4720329244
