iter	Passed	Remaining
0	1	1093
1	3	1127
2	4	1111
3	6	1086
4	7	1077
5	9	1069
6	10	1055
7	12	1087
8	14	1098
9	15	1086
10	17	1086
11	18	1087
12	20	1079
13	21	1077
14	23	1070
15	24	1067
16	26	1062
17	28	1074
18	29	1070
19	31	1063
20	32	1056
21	34	1053
22	35	1050
23	37	1047
24	38	1044
25	40	1039
26	41	1036
27	43	1032
28	44	1028
29	46	1041
30	48	1044
31	50	1054
32	52	1051
33	54	1062
34	55	1061
35	57	1058
36	58	1055
37	60	1050
38	61	1050
39	63	1048
40	65	1044
41	66	1047
42	68	1050
43	70	1052
44	73	1064
45	74	1063
46	76	1064
47	78	1069
48	80	1070
49	82	1071
50	83	1067
51	85	1064
52	87	1065
53	89	1064
54	91	1068
55	92	1069
56	94	1065
57	96	1065
58	98	1068
59	100	1066
60	101	1065
61	103	1069
62	105	1070
63	107	1067
64	108	1064
65	110	1061
66	112	1064
67	114	1067
68	117	1072
69	119	1074
70	121	1077
71	128	1117
72	130	1123
73	132	1121
74	136	1136
75	138	1138
76	140	1137
77	143	1141
78	144	1138
79	146	1136
80	148	1132
81	149	1130
82	151	1127
83	153	1125
84	155	1123
85	156	1119
86	158	1115
87	159	1111
88	161	1110
89	163	1108
90	165	1108
91	167	1104
92	169	1103
93	171	1104
94	173	1104
95	175	1102
96	177	1102
97	179	1100
98	180	1097
99	182	1093
100	183	1090
101	185	1087
102	186	1083
103	188	1080
104	190	1080
105	192	1081
106	194	1079
107	197	1082
108	200	1085
109	202	1085
110	204	1083
111	205	1080
112	207	1077
113	209	1077
114	211	1076
115	213	1076
116	216	1078
117	219	1080
118	221	1079
119	223	1078
120	224	1075
121	226	1072
122	228	1070
123	230	1070
124	232	1071
125	234	1070
126	236	1067
127	238	1064
128	240	1064
129	242	1063
130	244	1061
131	246	1060
132	248	1060
133	250	1057
134	252	1055
135	254	1054
136	255	1051
137	258	1051
138	259	1049
139	262	1048
140	263	1045
141	265	1041
142	267	1041
143	269	1041
144	271	1040
145	274	1039
146	276	1039
147	277	1036
148	280	1036
149	282	1036
150	284	1033
151	286	1032
152	288	1032
153	290	1028
154	291	1026
155	294	1025
156	296	1025
157	298	1023
158	300	1022
159	302	1020
160	304	1017
161	306	1016
162	307	1014
163	309	1013
164	312	1012
165	314	1011
166	316	1010
167	318	1009
168	320	1007
169	322	1004
170	324	1003
171	326	1001
172	327	998
173	329	995
174	331	993
175	332	990
176	334	988
177	338	992
178	340	991
179	344	994
180	346	992
181	348	991
182	350	990
183	353	991
184	355	989
185	357	988
186	359	986
187	361	984
188	363	983
189	365	981
190	367	978
191	368	975
192	370	973
193	372	970
194	374	969
195	376	968
196	378	966
197	380	965
198	382	962
199	384	960
200	386	959
201	388	958
202	390	955
203	391	952
204	394	951
205	395	949
206	397	946
207	399	945
208	401	942
209	402	939
210	404	938
211	407	937
212	408	934
213	410	932
214	412	929
215	414	927
216	415	925
217	417	923
218	419	921
219	420	918
220	422	915
221	424	913
222	425	910
223	427	908
224	429	907
225	432	906
226	433	904
227	435	901
228	437	899
229	439	898
230	441	896
231	443	894
232	445	893
233	447	891
234	449	889
235	451	887
236	453	885
237	455	883
238	456	880
239	458	879
240	462	881
241	464	879
242	468	880
243	469	878
244	471	876
245	474	874
246	476	873
247	478	871
248	480	869
249	481	867
250	483	865
251	485	862
252	487	861
253	489	858
254	491	857
255	493	855
256	494	852
257	496	850
258	497	847
259	499	845
260	502	844
261	503	841
262	505	839
263	507	837
264	508	835
265	510	833
266	512	830
267	513	828
268	515	825
269	517	823
270	519	822
271	521	820
272	522	817
273	524	815
274	526	813
275	527	810
276	529	808
277	531	806
278	533	804
279	534	802
280	536	800
281	538	798
282	540	795
283	541	793
284	543	791
285	545	789
286	547	787
287	548	784
288	550	783
289	553	782
290	555	780
291	556	777
292	558	775
293	560	774
294	562	772
295	565	771
296	567	769
297	569	767
298	571	766
299	572	763
300	574	761
301	576	759
302	577	757
303	579	754
304	581	753
305	583	751
306	585	750
307	587	747
308	588	745
309	590	742
310	592	740
311	594	739
312	597	738
313	599	737
314	601	735
315	603	732
316	604	730
317	606	728
318	608	726
319	609	723
320	611	721
321	613	719
322	614	717
323	616	715
324	617	712
325	620	711
326	622	709
327	624	707
328	625	705
329	627	703
330	629	701
331	631	699
332	632	697
333	635	695
334	637	694
335	639	692
336	641	690
337	643	688
338	645	687
339	647	685
340	649	683
341	653	683
342	655	681
343	657	680
344	658	678
345	661	676
346	663	674
347	664	672
348	666	670
349	668	668
350	670	667
351	672	665
352	675	663
353	677	662
354	679	660
355	680	658
356	682	655
357	684	653
358	685	651
359	687	649
360	689	647
361	691	645
362	693	644
363	695	641
364	697	639
365	699	638
366	700	636
367	702	633
368	704	632
369	707	630
370	709	629
371	711	627
372	713	625
373	715	624
374	717	622
375	719	619
376	720	617
377	722	615
378	724	613
379	726	611
380	728	610
381	731	608
382	732	606
383	734	604
384	737	603
385	738	601
386	740	598
387	745	599
388	747	597
389	751	597
390	753	595
391	755	593
392	757	591
393	759	589
394	761	588
395	763	586
396	765	584
397	768	582
398	770	581
399	771	578
400	773	576
401	775	574
402	777	572
403	779	571
404	781	569
405	782	566
406	784	564
407	785	562
408	788	560
409	789	558
410	791	556
411	793	554
412	795	552
413	797	550
414	799	548
415	800	546
416	802	544
417	804	542
418	807	541
419	808	539
420	810	537
421	812	535
422	814	533
423	816	531
424	818	529
425	820	527
426	822	525
427	824	524
428	827	522
429	829	520
430	831	518
431	833	517
432	836	515
433	837	513
434	839	511
435	841	509
436	843	507
437	844	505
438	846	503
439	847	501
440	849	499
441	851	497
442	853	495
443	855	493
444	857	491
445	859	489
446	861	487
447	863	485
448	865	484
449	868	482
450	869	480
451	871	477
452	872	475
453	874	473
454	875	471
455	877	469
456	879	467
457	880	465
458	882	463
459	884	461
460	885	459
461	887	457
462	889	455
463	892	453
464	893	451
465	895	449
466	897	447
467	899	445
468	901	444
469	903	442
470	905	440
471	907	438
472	908	436
473	910	433
474	912	432
475	914	430
476	916	428
477	918	426
478	919	424
479	921	422
480	923	420
481	925	418
482	928	417
483	931	415
484	933	413
485	934	411
486	936	409
487	938	407
488	940	405
489	942	403
490	944	401
491	946	400
492	947	397
493	949	395
494	951	394
495	953	392
496	955	390
497	956	388
498	958	386
499	960	384
500	961	381
501	963	379
502	965	378
503	967	376
504	969	374
505	971	372
506	973	370
507	975	368
508	977	366
509	980	365
510	982	363
511	984	361
512	986	359
513	988	357
514	991	356
515	993	354
516	994	352
517	996	350
518	998	348
519	1000	346
520	1002	344
521	1004	342
522	1006	340
523	1007	338
524	1009	336
525	1011	334
526	1013	332
527	1015	330
528	1016	328
529	1018	326
530	1019	324
531	1022	322
532	1024	320
533	1025	318
534	1027	316
535	1029	314
536	1033	313
537	1035	311
538	1040	310
539	1042	308
540	1043	306
541	1045	304
542	1047	302
543	1048	300
544	1050	298
545	1052	296
546	1054	294
547	1056	292
548	1057	290
549	1059	288
550	1060	286
551	1062	284
552	1064	282
553	1065	280
554	1067	278
555	1069	276
556	1071	275
557	1073	273
558	1075	271
559	1077	269
560	1079	267
561	1081	265
562	1083	263
563	1085	261
564	1088	260
565	1090	258
566	1092	256
567	1094	254
568	1095	252
569	1097	250
570	1099	248
571	1101	246
572	1104	244
573	1105	242
574	1107	240
575	1109	238
576	1111	236
577	1113	235
578	1115	233
579	1118	231
580	1120	229
581	1122	227
582	1124	225
583	1125	223
584	1127	221
585	1129	219
586	1131	217
587	1133	215
588	1135	213
589	1137	212
590	1139	210
591	1141	208
592	1143	206
593	1144	204
594	1146	202
595	1149	200
596	1151	198
597	1153	196
598	1154	194
599	1156	192
600	1157	190
601	1159	188
602	1161	186
603	1163	184
604	1165	183
605	1167	181
606	1169	179
607	1171	177
608	1173	175
609	1175	173
610	1177	171
611	1179	169
612	1181	167
613	1182	165
614	1184	163
615	1186	161
616	1188	159
617	1190	157
618	1192	156
619	1193	154
620	1195	152
621	1198	150
622	1200	148
623	1202	146
624	1204	144
625	1206	142
626	1208	140
627	1210	138
628	1212	136
629	1213	134
630	1216	133
631	1219	131
632	1221	129
633	1223	127
634	1224	125
635	1226	123
636	1228	121
637	1229	119
638	1231	117
639	1237	116
640	1243	114
641	1246	112
642	1249	110
643	1252	108
644	1254	106
645	1256	105
646	1259	103
647	1261	101
648	1263	99
649	1266	97
650	1267	95
651	1270	93
652	1271	91
653	1273	89
654	1275	87
655	1276	85
656	1278	83
657	1280	81
658	1282	79
659	1284	77
660	1285	75
661	1287	73
662	1289	71
663	1290	69
664	1292	68
665	1294	66
666	1296	64
667	1298	62
668	1300	60
669	1302	58
670	1303	56
671	1305	54
672	1307	52
673	1310	50
674	1312	48
675	1314	46
676	1316	44
677	1318	42
678	1321	40
679	1323	38
680	1325	36
681	1327	35
682	1329	33
683	1332	31
684	1334	29
685	1336	27
686	1338	25
687	1340	23
688	1342	21
689	1343	19
690	1346	17
691	1348	15
692	1353	13
693	1355	11
694	1360	9
695	1362	7
696	1363	5
697	1365	3
698	1367	1
699	1370	0
