LoanID,Application_ID,PortfolioID,ApplicationDate,Payin_120days
I2290697-0,111468410,6,54:00.0,1.05
I1956335-0,87145672,1,03:45.0,2.62
I2069952-0,127483544,5,39:45.0,1.953333
I2185520-0,131223517,5,15:35.0,1.404286
I2394648-0,115998791,6,10:00.0,0.49
I2055262-0,88933020,1,22:52.0,2.10357
I2185057-0,94115251,7,55:10.0,2.71
I2206920-0,131869205,5,58:56.0,0.183333
I2089856-0,89555661,1,41:26.0,2.068571
I2327715-0,138111050,5,22:55.0,1.016183
I2385041-0,115422250,6,28:20.0,0.25625
I2398813-0,116203245,6,18:06.0,1.104166
I1962015-0,87622619,7,35:03.0,2.127028
I2194329-0,92508960,1,06:36.0,1.575
I2216316-0,95426272,7,16:49.0,0.954545
I2388199-0,115613552,6,31:53.0,1
I2204943-0,94904357,7,27:14.0,0.6
I2015425-0,88162603,1,53:33.0,0
I2240855-0,97112577,7,50:57.0,0.9
I2118561-0,91383021,7,38:21.0,2.03625
I2247225-0,97510612,7,15:30.0,1.6
I2031658-0,89157098,7,26:17.0,2.536666
I2161002-0,105436198,6,25:15.0,2.775
I1952709-0,101061832,6,22:46.0,2.256428
I2159234-0,91608720,1,21:55.0,0.283333
I2298781-0,111815354,6,37:47.0,1.833333
I2043818-0,102592797,6,55:51.0,2.82
I1983450-0,101699734,6,04:52.0,1.55
I2346087-0,100022387,1,53:04.0,1.24705
I2021196-0,102217926,6,12:33.0,1.066666
I1975260-0,87562063,1,01:03.0,2
I2235137-0,108230594,6,13:13.0,1.36875
I2063968-0,90016213,7,20:50.0,2.5
I2385011-0,115421351,6,11:53.0,2.465
I2164864-0,93465699,7,39:28.0,1.97
I2356569-0,103612959,7,07:53.0,2.5893
I2243877-0,97313776,7,27:24.0,1.8
I2104751-0,103680240,6,47:33.0,0.306666
I2198112-0,131571601,5,29:50.0,2.65
I1921914-0,100040543,6,58:22.0,1.566666
I2091951-0,103419990,6,18:52.0,0
I2031531-0,89154416,7,41:19.0,1.966666
I2152969-0,130245024,5,53:50.0,0.9
I2142604-0,104838767,6,55:12.0,0
I2225027-0,95873596,7,13:15.0,2.0812
I2270108-0,99125138,7,37:45.0,1.3
I2380590-0,115204825,6,59:19.0,1.361483
I2096245-0,90788784,7,48:02.0,0.3
I2267423-0,110162588,6,45:11.0,1.275
I2279957-0,99772947,7,12:11.0,1.3125
I2292597-0,136694199,5,45:48.0,0.5
I1944964-0,87119877,7,51:36.0,0
I2111625-0,89942292,1,19:43.0,1
I1978883-0,87619519,1,52:55.0,0
I2364834-0,104014431,7,19:16.0,0
I2065253-0,102962769,6,22:21.0,0.9
I1995259-0,87861549,1,51:34.0,0
I1916182-0,122826922,5,06:46.0,0.9
I2393265-0,140890080,5,03:22.0,1.416714
I2129278-0,90472350,1,20:54.0,2.592222
I2173558-0,130975559,5,39:19.0,0.283333
I2250616-0,109134817,6,40:57.0,0
I2166051-0,93509084,7,00:33.0,1
I2034197-0,102418928,6,53:05.0,0.4
I2146760-0,104977521,6,51:42.0,1.047614
I2168651-0,91917122,1,12:51.0,1.878571
I1961006-0,124799351,5,49:24.0,1.116666
I2258398-0,109603381,6,19:57.0,1.15
I2214244-0,132118879,5,39:06.0,2.62
I1994716-0,101846053,6,42:54.0,0
I2294447-0,111631120,6,56:03.0,2.30625
I1945303-0,100843660,6,57:42.0,1
I1956198-0,87482420,7,43:29.0,1.67
I2173570-0,130975594,5,31:04.0,1.225714
I2082129-0,90443316,7,00:18.0,1.8575
I2138198-0,129634345,5,54:33.0,1.97
I2163998-0,91763347,1,43:32.0,0
I2321576-0,137908669,5,11:27.0,1.128575
I2396960-0,116120934,6,03:34.0,1.25536
I2014685-0,126153352,5,30:30.0,1
I2360657-0,139445515,5,11:48.0,0.625
I2098810-0,103550730,6,22:18.0,0.133333
I2221893-0,95732979,7,18:05.0,2.460909
I2267815-0,98970371,7,15:54.0,2.31
I1975277-0,125280747,5,38:10.0,1.1
I2150032-0,130123174,5,38:36.0,0.383333
I2046904-0,102658394,6,41:14.0,0
I2120993-0,91450486,7,08:49.0,2.95
I1961845-0,87621535,7,06:41.0,2.42
I2018576-0,88841845,7,30:31.0,0.3
I1941075-0,100712289,6,52:21.0,1.235293
I2134804-0,104545565,6,54:33.0,2.066666
I2232116-0,107944538,6,08:38.0,2.08
I2200078-0,131646235,5,12:58.0,1.08572
I2325535-0,102187765,7,43:38.0,1.255
I2193368-0,106285098,6,01:47.0,0.6
I2394502-0,140952303,5,38:28.0,1.25
I2206001-0,92905636,1,43:07.0,2.6
I1929681-0,86369137,1,27:30.0,2.18
I2120838-0,90204596,1,54:30.0,0.3
I2156331-0,93064615,7,59:59.0,0.764
I2188546-0,92362602,1,39:54.0,2.57
I2067389-0,90086532,7,20:43.0,1.175
I2112043-0,103809255,6,58:36.0,0
I2087682-0,103352317,6,44:02.0,1.585713
I2136484-0,90813586,1,39:22.0,0.86875
I2167305-0,93553066,7,27:46.0,2.561176
I1944021-0,86838872,1,32:04.0,1.4125
I2258904-0,95818919,1,10:44.0,0.3
I1929812-0,123512572,5,41:00.0,1
I2081187-0,103225657,6,52:26.0,1
I2031857-0,88449883,1,53:09.0,0.6
I2129593-0,104320999,6,47:44.0,2.591666
I2128468-0,104266088,6,11:56.0,1.4
I1991514-0,87811750,1,07:35.0,1.483333
I2082723-0,90460561,7,38:02.0,1.475
I2153097-0,92966993,7,02:52.0,1.06666
I2387377-0,101718915,1,09:58.0,1.862857
I2288336-0,100335572,7,33:18.0,0.085714
I2110590-0,128487401,5,11:12.0,1.53875
I2213196-0,106981516,6,57:10.0,0.9
I2106368-0,128396094,5,04:25.0,1.435
I2116438-0,91291256,7,54:39.0,0.166666
I2192918-0,106272949,6,03:42.0,1.25
I2051201-0,102750014,6,04:59.0,0.272222
I2099968-0,128199543,5,38:24.0,0.85
I2391910-0,105126913,7,44:05.0,1.6
I1988703-0,87775471,1,12:49.0,2.783333
I2163474-0,91743773,1,00:41.0,2.013566
I2098777-0,90845838,7,13:33.0,1.25
I2108677-0,103765308,6,23:06.0,0.3
I1922772-0,123192222,5,11:34.0,1.0525
I2065770-0,90057110,7,08:50.0,1.2
I1993107-0,125722203,5,30:10.0,0
I2048585-0,102693265,6,03:33.0,0.6
I2376764-0,104415101,7,53:18.0,0
I2372602-0,139935106,5,46:59.0,0.9
I1954202-0,101097551,6,35:10.0,2.927777
I2228409-0,96068729,7,44:40.0,0.2
I2068078-0,89143363,1,09:22.0,1.6
I2315288-0,137658299,5,44:18.0,1
I2214614-0,107052334,6,41:20.0,1.978573
I2336808-0,102684101,7,25:45.0,1.1125
I2143140-0,129817746,5,50:05.0,1
I2370472-0,114812525,6,11:47.0,0.15625
I2211035-0,95179623,7,49:24.0,1.2
I2174914-0,92077219,1,03:24.0,1.175
I2346047-0,103144041,7,28:19.0,1.125
I2355583-0,114220271,6,08:58.0,1.53
I1944111-0,124169934,5,02:47.0,2.75
I2284911-0,100143134,7,36:56.0,0.75
I2319662-0,137827562,5,17:16.0,2.08
I2012756-0,126112042,5,56:24.0,1.15
I2318175-0,137769326,5,44:09.0,1.4125
I2371792-0,104253922,7,05:37.0,2.135253
I1978706-0,101605420,6,19:22.0,1.142857
I2197855-0,106431517,6,46:25.0,0.455555
I2277208-0,96873568,1,38:41.0,1.666666
I2213544-0,95261813,7,06:48.0,2.62
I2237512-0,133576073,5,58:44.0,0.2
I1918675-0,122945229,5,25:01.0,3.061666
I2178332-0,131059483,5,27:11.0,1.8
I2130085-0,129190809,5,24:49.0,1.15
I2209807-0,95126989,7,43:52.0,0.7
I2379669-0,140200704,5,22:44.0,1.2
I2250345-0,95289915,1,17:32.0,2.233333
I2189376-0,94274492,7,20:50.0,0.3
I2147669-0,105003453,6,20:16.0,0.1
I2315538-0,112525831,6,19:44.0,0.45625
I2327043-0,138096213,5,15:55.0,2.94
I2244936-0,97390304,7,17:40.0,0.327777
I2151937-0,105156105,6,03:10.0,0.05
I2281369-0,99882829,7,39:48.0,0.6
I2241195-0,108608592,6,29:24.0,1.225
I2138799-0,90905387,1,32:19.0,1
I1923365-0,100101937,6,52:08.0,2.053333
I2266722-0,96291714,1,52:56.0,0.3
I2289632-0,111406894,6,14:41.0,2.2
I2201270-0,131683689,5,47:40.0,1.3
I1997002-0,87884940,1,51:34.0,0.6
I2282701-0,99989322,7,45:58.0,2.6945
I2250697-0,134291234,5,23:25.0,1
I2170168-0,91955259,1,15:04.0,1.146666
I2233945-0,133307681,5,57:02.0,1.9
I2126546-0,104213055,6,45:17.0,0.3
I2191703-0,92451542,1,15:28.0,1.066666
I1960061-0,87235364,1,45:43.0,0.3
I2310693-0,137465126,5,18:44.0,1.01965
I1930896-0,123569729,5,58:12.0,1
I2152118-0,130207740,5,46:37.0,0
I1934291-0,86749950,7,03:17.0,0.56875
I2194869-0,92521562,1,57:33.0,1
I1922392-0,86267513,7,48:50.0,2.308333
I2297435-0,100830165,7,22:11.0,2.457142
I2294266-0,136760479,5,59:17.0,1
I2200334-0,106530991,6,02:06.0,1.49832
I2212948-0,106970351,6,17:47.0,2.591428
I2229256-0,107764611,6,32:41.0,0
I2072540-0,127509140,5,28:14.0,1.19
I2034131-0,102417454,6,27:27.0,2.55
I1968238-0,87423163,1,14:27.0,0.4
I2118991-0,104016312,6,04:20.0,1.363636
I2037527-0,126680983,5,37:00.0,2.81071
I2114340-0,90041397,1,13:28.0,0.3
I2309615-0,98533694,1,53:10.0,2
I2163468-0,91743453,1,53:42.0,1.7875
I2145393-0,129920911,5,55:06.0,1.16
I2198549-0,106467294,6,53:37.0,0
I2167075-0,130744330,5,00:54.0,1.825
I2278457-0,135920886,5,11:03.0,3.07
I2142132-0,104819190,6,28:53.0,1.1
I2199734-0,94689461,7,14:18.0,1.55
I2186808-0,131257472,5,11:19.0,0.3
I1933035-0,100435386,6,57:29.0,2.714285
I2094259-0,103462465,6,13:30.0,0.2
I2151874-0,130197985,5,21:25.0,1.914444
I2196765-0,94542229,7,38:20.0,1
I2020052-0,126262030,5,55:50.0,2.042857
I2218640-0,132333792,5,03:07.0,0
I1920365-0,123039291,5,02:11.0,2.425
I2372250-0,104279844,7,50:21.0,1
I2220064-0,107338593,6,51:02.0,1.20625
I1998858-0,101905169,6,17:23.0,1.260833
I1912996-0,85760852,1,18:15.0,0
I2328088-0,113008821,6,41:15.0,1.4
I2172336-0,92013636,1,43:31.0,2.773333
I2394401-0,105204962,7,19:40.0,0.6
I2204854-0,92864367,1,03:22.0,0
I2172439-0,92017528,1,16:57.0,1.253842
I1916454-0,122844595,5,03:51.0,0.3
I2152181-0,91399273,1,54:01.0,1.85
I2184183-0,94086952,7,12:16.0,1.2
I2179628-0,131092831,5,34:04.0,0.975
I2020467-0,88248744,1,12:35.0,3.01
I2251422-0,134321925,5,18:03.0,0.66
I2361242-0,100672661,1,50:44.0,0
I2140326-0,129715173,5,02:04.0,0.273
I1982342-0,87681201,1,15:37.0,2
I2212418-0,132051629,5,16:35.0,1.059342
I2192910-0,94399221,7,52:12.0,1
I2084975-0,127834211,5,27:59.0,2.2
